,메뉴,칼로리,당류,단백질,나트륨,포화지방,카페인 정보
0,에스프레소 콘 파나,30,1,0,0,1.5,75
1,에스프레소 마키아또,10,0,1,0,0,75
2,아이스 카페 아메리카노,10,0,1,5,0,150
3,카페 아메리카노,10,0,1,5,0,150
4,아이스 카라멜 마키아또,190,21,6,110,4.6,75
5,카라멜 마키아또,200,22,8,130,5,75
6,아이스 카푸치노,115,9,6,90,3.5,75
7,카푸치노,110,8,6,70,3,75
8,라벤더 카페 브레베,400,30,8,140,22,105
9,럼 샷 코르타도,70,8,3,45,1.8,75
10,바닐라 빈 라떼,245,27,9,150,6,210
11,블론드 에스프레소 라떼,330,32,11,180,11,91
12,스타벅스 돌체 라떼,255,39,12,190,2.6,150
13,아이스 라벤더 카페 브레베,335,27,6,110,18,105
14,아이스 바닐라 빈 라떼,155,20,5,75,2.9,210
15,아이스 블론드 에스프레소 라떼,220,23,6,90,8,91
16,아이스 스타벅스 돌체 라떼,230,35,10,145,2.5,150
17,아이스 카페 라떼,110,8,6,75,3.5,75
18,제주 별다방 땅콩 라떼,595,61,15,240,14,150
19,카페 라떼,180,13,10,115,5,75
20,아이스 카페 모카,250,21,7,70,8,95
21,아이스 화이트 초콜릿 모카,260,27,7,75,8,75
22,카페 모카,290,25,10,105,9,95
23,화이트 초콜릿 모카,345,35,11,150,11,75
24,바닐라 플랫 화이트,220,23,9,130,5,260
25,바닐라 스타벅스 더블 샷,125,14,2,30,4.5,150
26,블론드 바닐라 더블 샷 마키아또,315,31,8,130,12,170
27,사케라또 아포가토,290,30,4,70,10,210
28,스파클링 시트러스 에스프레소,65,15,0,5,0,105
29,아이스 블론드 바닐라 더블 샷 마키아또,195,22,5,65,6,170
30,에스프레소,5,0,0,0,0,75
31,커피 스타벅스 더블 샷,125,14,3,28.5,5,150
32,클래식 아포가토,240,18,4,70,10,150
33,헤이즐넛 스타벅스 더블 샷,125,14,3,28.5,5,150
